Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
0.000, 1, Velocity, 0, 0, 2, 0.000, 1.000
16.667, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
33.333, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
50.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
66.667, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
83.333, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
100.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
116.667, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
133.333, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
150.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
166.667, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
183.333, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
200.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
216.667, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
233.333, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
250.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
266.667, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
283.333, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
300.000, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
316.667, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
333.333, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
350.000, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
366.667, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
383.333, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
400.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
416.667, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
433.333, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
450.000, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
466.667, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
483.333, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
500.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
516.667, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
533.333, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
550.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
566.667, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
583.333, 0.104, Velocity, 0, 0, 0.208, 0.000, 1.000
600.000, 0.105, Velocity, 0, 0, 0.21, 0.000, 1.000
