Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,FunctionRatio,CameraSpeed
GaussOnlyFreeze,A,0.050574,B,0.561631,C,0.387795,366.667,0.000,Velocity,1,0,1.000000,0.561631,1.000
GaussOnlyFreeze,A,0.047522,B,0.552739,C,0.399739,383.333,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.044622,B,0.543611,C,0.411767,400.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.041871,B,0.534265,C,0.423863,416.667,0.000,Velocity,1,0,1.000000,0.534265,1.000
GaussOnlyFreeze,A,0.039263,B,0.524721,C,0.436017,433.333,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.036792,B,0.514995,C,0.448213,450.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.034453,B,0.505108,C,0.460439,466.667,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.032241,B,0.495079,C,0.472681,483.333,0.000,Velocity,1,0,1.000000,0.495079,1.000
GaussOnlyFreeze,A,0.484925,B,0.484925,C,0.030151,500.000,0.000,Velocity,1,0,1.000000,0.484925,1.000
GaussOnlyFreeze,A,0.472681,B,0.495079,C,0.032241,516.667,0.000,Velocity,1,0,1.000000,0.495079,1.000
GaussOnlyFreeze,A,0.460439,B,0.505108,C,0.034453,533.333,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.448213,B,0.514995,C,0.036792,550.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.436017,B,0.524721,C,0.039263,566.667,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.423863,B,0.534266,C,0.041871,583.333,0.000,Velocity,1,0,1.000000,0.534266,1.000
GaussOnlyFreeze,A,0.411766,B,0.543611,C,0.044622,600.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.399739,B,0.552739,C,0.047522,616.667,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.387794,B,0.561632,C,0.050574,633.333,0.000,Velocity,1,0,1.000000,0.561632,1.000
GaussOnlyFreeze,A,0.375945,B,0.570270,C,0.053785,650.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnlyFreeze,A,0.364203,B,0.578637,C,0.057160,666.667,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnlyFreeze,A,0.352581,B,0.586715,C,0.060705,683.333,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnlyFreeze,A,0.341089,B,0.594487,C,0.064423,700.000,0.000,Velocity,1,0,1.000000,0.594487,1.000
GaussOnlyFreeze,A,0.329740,B,0.601939,C,0.068322,716.667,0.000,Velocity,1,0,1.000000,0.601939,1.000
GaussOnlyFreeze,A,0.318543,B,0.609052,C,0.072405,733.333,0.000,Velocity,1,0,1.000000,0.609052,1.000
GaussOnlyFreeze,A,0.307508,B,0.615814,C,0.076678,750.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
GaussOnlyFreeze,A,0.296645,B,0.622210,C,0.081145,766.667,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnlyFreeze,A,0.285963,B,0.628225,C,0.085812,783.333,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.275469,B,0.633848,C,0.090683,800.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.265172,B,0.639067,C,0.095761,816.667,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.255078,B,0.643869,C,0.101053,833.333,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.245194,B,0.648246,C,0.106561,850.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.235524,B,0.652187,C,0.112289,866.667,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.226075,B,0.655685,C,0.118240,883.333,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.216850,B,0.658732,C,0.124418,900.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.207853,B,0.661321,C,0.130826,916.667,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.199088,B,0.663447,C,0.137466,933.333,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.190556,B,0.665105,C,0.144339,950.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.182260,B,0.666292,C,0.151449,966.667,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnlyFreeze,A,0.174200,B,0.667005,C,0.158795,983.333,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnlyFreeze,A,0.166379,B,0.667243,C,0.166379,1000.000,0.000,Velocity,1,0,1.000000,0.667243,1.000
GaussOnlyFreeze,A,0.158795,B,0.667005,C,0.174200,1016.667,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnlyFreeze,A,0.151449,B,0.666292,C,0.182260,1033.333,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnlyFreeze,A,0.144339,B,0.665105,C,0.190556,1050.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.137466,B,0.663447,C,0.199088,1066.667,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.130826,B,0.661321,C,0.207853,1083.333,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.124418,B,0.658732,C,0.216850,1100.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.118240,B,0.655685,C,0.226075,1116.667,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.112289,B,0.652187,C,0.235524,1133.333,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.106561,B,0.648246,C,0.245194,1150.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.101053,B,0.643869,C,0.255078,1166.667,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.095761,B,0.639067,C,0.265172,1183.333,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.090683,B,0.633848,C,0.275469,1200.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.085812,B,0.628225,C,0.285963,1216.667,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.081145,B,0.622210,C,0.296645,1233.333,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnlyFreeze,A,0.076678,B,0.615814,C,0.307508,1250.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
GaussOnlyFreeze,A,0.072405,B,0.609052,C,0.318543,1266.667,0.000,Velocity,1,0,1.000000,0.609052,1.000
GaussOnlyFreeze,A,0.068322,B,0.601938,C,0.329740,1283.333,0.000,Velocity,1,0,1.000000,0.601938,1.000
GaussOnlyFreeze,A,0.064423,B,0.594487,C,0.341089,1300.000,0.000,Velocity,1,0,1.000000,0.594487,1.000
GaussOnlyFreeze,A,0.060705,B,0.586715,C,0.352581,1316.667,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnlyFreeze,A,0.057160,B,0.578637,C,0.364203,1333.333,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnlyFreeze,A,0.053785,B,0.570270,C,0.375945,1350.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnlyFreeze,A,0.050574,B,0.561631,C,0.387795,1366.667,0.000,Velocity,1,0,1.000000,0.561631,1.000
GaussOnlyFreeze,A,0.047522,B,0.552739,C,0.399739,1383.333,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.044622,B,0.543611,C,0.411767,1400.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.041871,B,0.534265,C,0.423864,1416.667,0.000,Velocity,1,0,1.000000,0.534265,1.000
GaussOnlyFreeze,A,0.039263,B,0.524721,C,0.436017,1433.333,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.036792,B,0.514995,C,0.448213,1450.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.034453,B,0.505108,C,0.460439,1466.667,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.032241,B,0.495079,C,0.472681,1483.333,0.000,Velocity,1,0,1.000000,0.495079,1.000
GaussOnlyFreeze,A,0.484924,B,0.484925,C,0.030151,1500.000,0.000,Velocity,1,0,1.000000,0.484925,1.000
GaussOnlyFreeze,A,0.472681,B,0.495079,C,0.032241,1516.667,0.000,Velocity,1,0,1.000000,0.495079,1.000
GaussOnlyFreeze,A,0.460439,B,0.505108,C,0.034453,1533.333,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.448213,B,0.514995,C,0.036792,1550.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.436017,B,0.524721,C,0.039263,1566.667,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.423863,B,0.534266,C,0.041871,1583.333,0.000,Velocity,1,0,1.000000,0.534266,1.000
GaussOnlyFreeze,A,0.411766,B,0.543611,C,0.044622,1600.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.399739,B,0.552739,C,0.047522,1616.667,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.387795,B,0.561631,C,0.050574,1633.333,0.000,Velocity,1,0,1.000000,0.561631,1.000
GaussOnlyFreeze,A,0.375945,B,0.570270,C,0.053785,1650.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnlyFreeze,A,0.364203,B,0.578637,C,0.057160,1666.667,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnlyFreeze,A,0.352581,B,0.586715,C,0.060705,1683.333,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnlyFreeze,A,0.341089,B,0.594487,C,0.064423,1700.000,0.000,Velocity,1,0,1.000000,0.594487,1.000
GaussOnlyFreeze,A,0.329740,B,0.601939,C,0.068322,1716.667,0.000,Velocity,1,0,1.000000,0.601939,1.000
GaussOnlyFreeze,A,0.318543,B,0.609052,C,0.072405,1733.333,0.000,Velocity,1,0,1.000000,0.609052,1.000
GaussOnlyFreeze,A,0.307508,B,0.615814,C,0.076678,1750.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
GaussOnlyFreeze,A,0.296645,B,0.622210,C,0.081145,1766.667,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnlyFreeze,A,0.285963,B,0.628225,C,0.085812,1783.333,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.275469,B,0.633848,C,0.090683,1800.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.265172,B,0.639067,C,0.095761,1816.667,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.255078,B,0.643869,C,0.101053,1833.333,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.245193,B,0.648246,C,0.106561,1850.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.235524,B,0.652187,C,0.112289,1866.667,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.226075,B,0.655685,C,0.118240,1883.333,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.216850,B,0.658732,C,0.124418,1900.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.207853,B,0.661321,C,0.130826,1916.667,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.199088,B,0.663447,C,0.137466,1933.333,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.190556,B,0.665105,C,0.144339,1950.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.182260,B,0.666292,C,0.151449,1966.667,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnlyFreeze,A,0.174200,B,0.667005,C,0.158795,1983.333,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnlyFreeze,A,0.166378,B,0.667243,C,0.166379,2000.000,0.000,Velocity,1,0,1.000000,0.667243,1.000
GaussOnlyFreeze,A,0.158795,B,0.667005,C,0.174200,2016.667,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnlyFreeze,A,0.151449,B,0.666292,C,0.182260,2033.333,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnlyFreeze,A,0.144339,B,0.665105,C,0.190556,2050.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.137466,B,0.663447,C,0.199088,2066.667,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.130826,B,0.661321,C,0.207853,2083.333,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.124418,B,0.658732,C,0.216850,2100.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.118240,B,0.655685,C,0.226075,2116.667,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.112289,B,0.652187,C,0.235524,2133.333,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.106561,B,0.648246,C,0.245194,2150.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.101053,B,0.643869,C,0.255078,2166.667,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.095761,B,0.639067,C,0.265172,2183.333,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.090683,B,0.633848,C,0.275469,2200.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.085812,B,0.628225,C,0.285963,2216.667,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.081145,B,0.622210,C,0.296645,2233.333,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnlyFreeze,A,0.076678,B,0.615814,C,0.307508,2250.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
GaussOnlyFreeze,A,0.072405,B,0.609052,C,0.318543,2266.667,0.000,Velocity,1,0,1.000000,0.609052,1.000
GaussOnlyFreeze,A,0.068322,B,0.601938,C,0.329740,2283.333,0.000,Velocity,1,0,1.000000,0.601938,1.000
GaussOnlyFreeze,A,0.064423,B,0.594487,C,0.341089,2300.000,0.000,Velocity,1,0,1.000000,0.594487,1.000
GaussOnlyFreeze,A,0.060705,B,0.586715,C,0.352581,2316.667,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnlyFreeze,A,0.057160,B,0.578637,C,0.364203,2333.333,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnlyFreeze,A,0.053785,B,0.570270,C,0.375945,2350.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnlyFreeze,A,0.050574,B,0.561631,C,0.387795,2366.667,0.000,Velocity,1,0,1.000000,0.561631,1.000
GaussOnlyFreeze,A,0.047522,B,0.552739,C,0.399739,2383.333,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.044622,B,0.543611,C,0.411767,2400.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.041871,B,0.534265,C,0.423864,2416.667,0.000,Velocity,1,0,1.000000,0.534265,1.000
GaussOnlyFreeze,A,0.039263,B,0.524721,C,0.436017,2433.333,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.036792,B,0.514995,C,0.448213,2450.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.034453,B,0.505108,C,0.460439,2466.667,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.032241,B,0.495078,C,0.472681,2483.333,0.000,Velocity,1,0,1.000000,0.495078,1.000
GaussOnlyFreeze,A,0.484924,B,0.484925,C,0.030151,2500.000,0.000,Velocity,1,0,1.000000,0.484925,1.000
GaussOnlyFreeze,A,0.472681,B,0.495079,C,0.032241,2516.667,0.000,Velocity,1,0,1.000000,0.495079,1.000
GaussOnlyFreeze,A,0.460439,B,0.505108,C,0.034453,2533.333,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.448213,B,0.514995,C,0.036792,2550.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.436017,B,0.524721,C,0.039263,2566.667,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.423863,B,0.534266,C,0.041871,2583.333,0.000,Velocity,1,0,1.000000,0.534266,1.000
GaussOnlyFreeze,A,0.411766,B,0.543611,C,0.044622,2600.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.399739,B,0.552739,C,0.047522,2616.667,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.387794,B,0.561632,C,0.050574,2633.333,0.000,Velocity,1,0,1.000000,0.561632,1.000
GaussOnlyFreeze,A,0.375945,B,0.570270,C,0.053785,2650.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnlyFreeze,A,0.364203,B,0.578637,C,0.057160,2666.667,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnlyFreeze,A,0.352581,B,0.586715,C,0.060705,2683.333,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnlyFreeze,A,0.341089,B,0.594488,C,0.064424,2700.000,0.000,Velocity,1,0,1.000000,0.594488,1.000
GaussOnlyFreeze,A,0.329740,B,0.601939,C,0.068322,2716.667,0.000,Velocity,1,0,1.000000,0.601939,1.000
GaussOnlyFreeze,A,0.318543,B,0.609053,C,0.072405,2733.333,0.000,Velocity,1,0,1.000000,0.609053,1.000
GaussOnlyFreeze,A,0.307508,B,0.615814,C,0.076678,2750.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
GaussOnlyFreeze,A,0.296645,B,0.622210,C,0.081145,2766.667,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnlyFreeze,A,0.285963,B,0.628225,C,0.085812,2783.333,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.275469,B,0.633848,C,0.090683,2800.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.265172,B,0.639067,C,0.095762,2816.667,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.255078,B,0.643869,C,0.101053,2833.333,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.245193,B,0.648246,C,0.106561,2850.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.235524,B,0.652187,C,0.112289,2866.667,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.226075,B,0.655685,C,0.118240,2883.333,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.216850,B,0.658732,C,0.124419,2900.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.207853,B,0.661321,C,0.130826,2916.667,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.199088,B,0.663447,C,0.137466,2933.333,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.190556,B,0.665105,C,0.144340,2950.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.182260,B,0.666292,C,0.151449,2966.667,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnlyFreeze,A,0.174200,B,0.667005,C,0.158795,2983.333,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnlyFreeze,A,0.166378,B,0.667243,C,0.166379,3000.000,0.000,Velocity,1,0,1.000000,0.667243,1.000
GaussOnlyFreeze,A,0.158795,B,0.667005,C,0.174200,3016.667,0.000,Velocity,1,0,1.000000,0.667005,1.000
GaussOnlyFreeze,A,0.151449,B,0.666292,C,0.182260,3033.333,0.000,Velocity,1,0,1.000000,0.666292,1.000
GaussOnlyFreeze,A,0.144339,B,0.665105,C,0.190556,3050.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.137466,B,0.663447,C,0.199088,3066.667,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.130826,B,0.661321,C,0.207853,3083.333,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.124418,B,0.658732,C,0.216850,3100.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.118240,B,0.655685,C,0.226075,3116.667,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.112289,B,0.652187,C,0.235524,3133.333,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.106561,B,0.648246,C,0.245194,3150.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.101053,B,0.643869,C,0.255078,3166.667,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.095761,B,0.639067,C,0.265172,3183.333,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.090682,B,0.633848,C,0.275470,3200.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.085812,B,0.628225,C,0.285963,3216.667,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.081145,B,0.622210,C,0.296645,3233.333,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnlyFreeze,A,0.076678,B,0.615814,C,0.307508,3250.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
GaussOnlyFreeze,A,0.072405,B,0.609052,C,0.318543,3266.667,0.000,Velocity,1,0,1.000000,0.609052,1.000
GaussOnlyFreeze,A,0.068322,B,0.601938,C,0.329740,3283.333,0.000,Velocity,1,0,1.000000,0.601938,1.000
GaussOnlyFreeze,A,0.064423,B,0.594487,C,0.341089,3300.000,0.000,Velocity,1,0,1.000000,0.594487,1.000
GaussOnlyFreeze,A,0.060705,B,0.586715,C,0.352581,3316.667,0.000,Velocity,1,0,1.000000,0.586715,1.000
GaussOnlyFreeze,A,0.057160,B,0.578637,C,0.364203,3333.333,0.000,Velocity,1,0,1.000000,0.578637,1.000
GaussOnlyFreeze,A,0.053785,B,0.570270,C,0.375945,3350.000,0.000,Velocity,1,0,1.000000,0.570270,1.000
GaussOnlyFreeze,A,0.050574,B,0.561631,C,0.387795,3366.667,0.000,Velocity,1,0,1.000000,0.561631,1.000
GaussOnlyFreeze,A,0.047522,B,0.552739,C,0.399739,3383.333,0.000,Velocity,1,0,1.000000,0.552739,1.000
GaussOnlyFreeze,A,0.044622,B,0.543611,C,0.411767,3400.000,0.000,Velocity,1,0,1.000000,0.543611,1.000
GaussOnlyFreeze,A,0.041871,B,0.534265,C,0.423864,3416.667,0.000,Velocity,1,0,1.000000,0.534265,1.000
GaussOnlyFreeze,A,0.039263,B,0.524721,C,0.436017,3433.333,0.000,Velocity,1,0,1.000000,0.524721,1.000
GaussOnlyFreeze,A,0.036792,B,0.514995,C,0.448213,3450.000,0.000,Velocity,1,0,1.000000,0.514995,1.000
GaussOnlyFreeze,A,0.034453,B,0.505108,C,0.460439,3466.667,0.000,Velocity,1,0,1.000000,0.505108,1.000
GaussOnlyFreeze,A,0.032241,B,0.495078,C,0.472681,3483.333,0.000,Velocity,1,0,1.000000,0.495078,1.000
GaussOnlyFreeze,A,0.484924,B,0.484925,C,0.030151,3500.000,0.000,Velocity,1,0,1.000000,0.484925,1.000
GaussOnlyFreeze,A,0.472681,B,0.495079,C,0.032241,3516.667,0.000,Velocity,1,0,1.000000,0.495079,1.000
GaussOnlyFreeze,A,0.460439,B,0.505108,C,0.034453,3533.333,0.000,Velocity,1,0,1.000000,0.505108,1.000
