video,frame_idx,time_sec,time_orig_sec,t_idx,video_W,video_H,FULL_mean,FULL_std,FULL_RMS_contrast,FULL_michelson,FULL_lap_var,ROI_mean,ROI_std,ROI_RMS_contrast,ROI_michelson,ROI_lap_var,k,u,roi_x0,roi_y0,roi_x1,roi_y1,scale_x,scale_y
linear,60,0.0,1.0,1.0,3440,720,0.5338287949562073,0.13393650949001312,0.25089786884205434,0.6870228877662035,836.9456787109375,0.46148931980133057,0.16689532995224,0.361645046103423,0.6525423616007013,979.07568359375,1,0.0,1481,155,1771,720,1.0,1.0140845070422535
linear,61,0.016666666666666607,1.0166666666666666,1.0166666666666666,3440,720,0.5333017110824585,0.1341499537229538,0.2515460731134818,0.6899224671793113,839.37548828125,0.46066299080848694,0.16648967564105988,0.36141317047139027,0.6595744561116214,982.3103637695312,1,0.016666666666666607,1480,155,1770,720,1.0,1.0140845070422535
linear,62,0.03333333333333344,1.0333333333333334,1.0333333333333334,3440,720,0.5326658487319946,0.1335378885269165,0.2506972923791324,0.6941176331053363,826.1344604492188,0.4602365493774414,0.16505199670791626,0.3586242625557189,0.6666666539888948,968.1725463867188,1,0.03333333333333344,1479,155,1769,720,1.0,1.0140845070422535
linear,63,0.050000000000000044,1.05,1.05,3440,720,0.5332167744636536,0.1335189938545227,0.2504028337908105,0.6874999866580637,812.6942749023438,0.4610483646392822,0.1639556586742401,0.35561487187221236,0.6595744561116214,957.1079711914062,1,0.050000000000000044,1478,155,1768,720,1.0,1.0140845070422535
linear,64,0.06666666666666665,1.0666666666666667,1.0666666666666667,3440,720,0.5333009958267212,0.13341009616851807,0.2501590934779998,0.6784313599211136,805.6357421875,0.46116116642951965,0.16325271129608154,0.35400358842009294,0.6510638185941557,951.3633422851562,1,0.06666666666666665,1477,155,1767,720,1.0,1.0140845070422535
linear,65,0.08333333333333326,1.0833333333333333,1.0833333333333333,3440,720,0.5332987904548645,0.13318082690238953,0.2497302202607546,0.6837944532186354,789.44482421875,0.4613058269023895,0.16224265098571777,0.35170300916883407,0.6581196462289773,938.4610595703125,1,0.08333333333333326,1476,155,1766,720,1.0,1.0140845070422535
linear,66,0.10000000000000009,1.1,1.1,3440,720,0.5331390500068665,0.132676362991333,0.2488588305453069,0.6746031621522925,754.4000244140625,0.46139317750930786,0.1608511358499527,0.3486205262766429,0.6480686585157479,908.62255859375,1,0.10000000000000009,1476,155,1766,720,1.0,1.0140845070422535
linear,67,0.1166666666666667,1.1166666666666667,1.1166666666666667,3440,720,0.5331809520721436,0.13255098462104797,0.24860412139605384,0.6746031621522925,749.1782836914062,0.4613657295703888,0.15969562530517578,0.3461367232293408,0.6450216341983962,897.6312255859375,1,0.1166666666666667,1475,155,1765,720,1.0,1.0140845070422535
linear,68,0.1333333333333333,1.1333333333333333,1.1333333333333333,3440,720,0.5332964062690735,0.13246966898441315,0.24839782331778482,0.6733067605191787,731.629638671875,0.4616245925426483,0.15903349220752716,0.34450826782533644,0.6450216341983962,880.1367797851562,1,0.1333333333333333,1474,155,1764,720,1.0,1.0140845070422535
linear,69,0.1499999999999999,1.15,1.15,3440,720,0.5332860350608826,0.13226765394210815,0.24802384230213226,0.6587301476366072,709.6731567382812,0.4618373215198517,0.15810148417949677,0.34233153837781716,0.6293103355103105,857.3748168945312,1,0.1499999999999999,1473,155,1763,720,1.0,1.0140845070422535
